scientificName,match_key,genus,commonName,description,bookPage,indexSection,category,subCategory,source
Chloeia viridis,chloeia viridis,Chloeia,blackline fireworm,"Each segment has a black line surrounded by white, forming a line down the back. Found in sandy areas.",157,INVERTEBRATES,invertebrates,worms,epub_profile
Chondrilla caribensis,chondrilla caribensis,Chondrilla,Chicken Liver sponge,"Shiny mustard-yellow to greenish-yellow sponge, often with dark blotches. Pale radiating veins around openings.",45,SPONGES,sponges,encrusting-sponges,epub_profile
Chorinus heros,chorinus heros,Chorinus,shorthorn decorator crab,"Two long horns on rostrum, connected at base. Oval carapace. Claw arms and the first pair of legs are long.",277,INVERTEBRATES,invertebrates,crabs,epub_profile
Chromis cyanea,chromis cyanea,Chromis,blue chromis,Bright blue to purplish body. Darker upper body from snout to tail base. Deeply forked tail with black borders.,355,FISHES,fishes,damselfishes,epub_profile
Chromis enchrysura,chromis enchrysura,Chromis,yellowtail reeffish,"Blue V on snout. Tail, rear dorsal, anal and pelvic fins yellow. White abdomen and tail base. Florida/N Mexico.",355,FISHES,fishes,damselfishes,epub_profile
Chromis insolata,chromis insolata,Chromis,sunshinefish (juvenile),Yellow upper body and bright blue or purple abdomen. Bright blue line runs from snout and over top of eye.,355,FISHES,fishes,damselfishes,epub_profile
Chromis multilineata,chromis multilineata,Chromis,brown chromis,Yellow on tips on dorsal fin and tail lobes. Small white spot behind dorsal fin. Large dark spot at pectoral base.,355,FISHES,fishes,damselfishes,epub_profile
Chromis scotti,chromis scotti,Chromis,purple reeffish,Dark blue to bluish-gray body. Bright blue spots on head and blue crescent above eye. Found on deeper reefs.,355,FISHES,fishes,damselfishes,epub_profile
Chromolaichma sedna,chromolaichma sedna,Chromolaichma,red-tipped sea goddess,"White dorsum with ruffled mantle, outlined in red and bright yellow. Red tips on white gills and rhinophores.",193,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Cinachyrella apion,cinachyrella apion,Cinachyrella,,,53,SPONGES,sponges,rope-sponges,scientific_index
Cinachyrella kuekenthali,cinachyrella kuekenthali,Cinachyrella,,,52,SPONGES,sponges,rope-sponges,scientific_index
Cinetorhynchus manningi,cinetorhynchus manningi,Cinetorhynchus,,,258,INVERTEBRATES,invertebrates,shrimps,scientific_index
Cittarium pica,cittarium pica,Cittarium,Magpie Whelk,Robust thick-lipped black and white shell. Found near rocky inshores. A commercially harvested species.,232,INVERTEBRATES,invertebrates,snails,epub_profile
Cladosiphon occidentalis,cladosiphon occidentalis,Cladosiphon,western tubular alga,Undulating gelatinous mass of soft tubular dull brown stalks covered with fine filaments. Can cover large areas.,27,MARINE PLANTS,plants,brown-algae,epub_profile
Clathria curacaoensis,clathria curacaoensis,Clathria,low-veined encrusting sponge,Thin-walled encrusting sponge with low star-shaped veins around excurrent openings. Color highly variable.,44,SPONGES,sponges,encrusting-sponges,epub_profile
Clathria faviformis,clathria faviformis,Clathria,,,53,SPONGES,sponges,rope-sponges,scientific_index
Clathria minuta,clathria minuta,Clathria,rusty encrusting sponge,Reddish-orange encrusting sponge with dark veins and a distinctively transparent outer sheath. Found in shallows.,44,SPONGES,sponges,encrusting-sponges,epub_profile
Clathria virgultosa,clathria virgultosa,Clathria,,,53,MARINE PLANTS,sponges,rope-sponges,scientific_index
Clavelina oblonga,clavelina oblonga,Clavelina,oblong tunicate,Translucent to whitish body with white internal structures visible. White lines around siphons. Found in clusters.,129,INVERTEBRATES,invertebrates,tunicates,epub_profile
Clavelina picta,clavelina picta,Clavelina,painted tunicate,Transparent body with purple circles “painted” around the siphons. Often found in dense clusters of individuals.,129,INVERTEBRATES,invertebrates,tunicates,epub_profile
Clavelina puertosecensis,clavelina puertosecensis,Clavelina,bluebell tunicate,"Opaque, blue to purple body. Siphon rims are paler than the rest of the body. Commonly found in large clusters.",130,INVERTEBRATES,invertebrates,tunicates,epub_profile
Clepticus parrae,clepticus parrae,Clepticus,Creole wrasse (terminal),"Dark purple head and upper body. Rear abdomen, tail base and anal fin yellowish-orange. Light purple tail.",393,FISHES,fishes,wrasses,epub_profile
Clibanarius tricolor,clibanarius tricolor,Clibanarius,tricolor hermit,"Pale blue legs, banded with red and yellow at the joints. Large black claws with white spots. Blue eyestalks.",273,INVERTEBRATES,invertebrates,crabs,epub_profile
Cliona caribbaea,cliona caribbaea,Cliona,,,51,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Cliona varians,cliona varians,Cliona,,,47,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Cliothosa delitrix,cliothosa delitrix,Cliothosa,,,51,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Clypeaster rosaceus,clypeaster rosaceus,Clypeaster,inflated sea biscuit,Flattened brown to reddish hemispherical body with a raised pentagonal design on the back. Short spines.,151,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Clypeaster subdepressus,clypeaster subdepressus,Clypeaster,sand dollar,Flat brown disc-shaped body with a dark pentagonal design on the back. Very short spines. Buries in sand.,150,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Clypeasterophilus rugatus,clypeasterophilus rugatus,Clypeasterophilus,Wrinkled pea crab,Flattened carapace with wavy ridges. Brown bands on legs. Commensal with Inflated Sea Biscuits (p. 151).,283,INVERTEBRATES,invertebrates,crabs,epub_profile
Codium intertextum,codium intertextum,Codium,Creeping fuzz alga,Smooth fleshy mats of round creeping and overlapping lobes. Dark green and covered in short fine pale hairs.,15,MARINE PLANTS,plants,green-algae,epub_profile
Codium isthmocladum,codium isthmocladum,Codium,dead man’s fingers,"A bushy growth of rounded dark green branchlets, often covered in very fine hairs. Usually found in the shallows.",15,MARINE PLANTS,plants,green-algae,epub_profile
Codium repens,codium repens,Codium,fleshy twig alga,"Fleshy dark green leaves with rounded edges, often overlapping to form a thick tangle. Two-lobed branchlets.",15,MARINE PLANTS,plants,green-algae,epub_profile
Coenocyathus caribbeana,coenocyathus caribbeana,Coenocyathus,,,89,CORALS,corals,cup-corals,scientific_index
Colangia immersa,colangia immersa,Colangia,,,89,CORALS,corals,cup-corals,scientific_index
Colpophyllia amaranthus,colpophyllia amaranthus,Colpophyllia,,,77,CORALS,corals,brain-corals,scientific_index
Colpophyllia natans,colpophyllia natans,Colpophyllia,,,77,CORALS,corals,brain-corals,scientific_index
Columbella mercatoria,columbella mercatoria,Columbella,west Indian Dove snail,Pale orange shell with white highlights. Long thick-walled lip and curved aperture. Pale tan mantle and proboscis.,227,INVERTEBRATES,invertebrates,snails,epub_profile
Condylactis gigantea,condylactis gigantea,Condylactis,giant anemone,"The largest of the anemones. Dozens of long tentacles with blue, red or green bulbous tips. Orange or red pedal disc.",116,INVERTEBRATES,invertebrates,anemones,epub_profile
Conella ovulata,conella ovulata,Conella,ovate dove snail,Orange to brown shell with a white spire tip and aperture. Creamy white markings form into bands. Purplish mantle.,227,INVERTEBRATES,invertebrates,snails,epub_profile
Conger triporiceps,conger triporiceps,Conger,manytooth conger,Light blue to pale purple body. Dark borders on blue dorsal and anal fins. Small dark pectorals. Nocturnal.,437,FISHES,fishes,eels,epub_profile
Conocarpus erectus,conocarpus erectus,Conocarpus,,,9,MARINE PLANTS,plants,mangroves,scientific_index
Conus daucus,conus daucus,Conus,Carrot cone,Almost flattened spire with a short pointed spire. Fine shallow grooves cover final body whorl. Red mantle.,226,INVERTEBRATES,invertebrates,snails,epub_profile
Conus granulatus,conus granulatus,Conus,Glory of Atlantic cone,"Elongated pale orange cone, commonly with central broken band of brown spots on final whorl. Red mantle.",227,INVERTEBRATES,invertebrates,snails,epub_profile
Conus kulkulcan,conus kulkulcan,Conus,Kulkulcan cone,"Cone-shaped shell with a short pointed spire. Deep red, often a lighter band towards the middle. Dark red mantle.",226,INVERTEBRATES,invertebrates,snails,epub_profile
Conus mus,conus mus,Conus,Mouse cone,Conical spire. Bluish-gray with brown axial streaks. Top of final whorl has low white knobs. Dark red proboscis.,226,INVERTEBRATES,invertebrates,snails,epub_profile
Conus spurius,conus spurius,Conus,Alphabet cone,Pale cone with short pointed spire. Pattern of small red to brownish spots or dashes covering the final whorl.,227,INVERTEBRATES,invertebrates,snails,epub_profile
Copidaster lymani,copidaster lymani,Copidaster,mottled sea star,Five tubular arms with rounded tips. Red with irregular dark red mottling. Rows of small pits run down the arms.,141,INVERTEBRATES,invertebrates,sea-stars,epub_profile
Corallianassa longiventris,corallianassa longiventris,Corallianassa,red-orange ghost shrimp,"Orange body with red markings at the joints. Large claws of different sizes. Shy, found hiding in holes in the sand.",269,INVERTEBRATES,invertebrates,shrimps,epub_profile
Cornirostra floridana,cornirostra floridana,Cornirostra,Florida Cornirostra,Black markings visible through translucent rounded shell. Long tentacles with black stripes and a long clear foot.,233,INVERTEBRATES,invertebrates,snails,epub_profile
Corolla spectabilis,corolla spectabilis,Corolla,Spectacular Corolla,A sea butterfly with distinctive white speckles and broad disc-shaped wings. Can produce a feeding web up to 2 m wide.,212,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Corynactis caribbeorum,corynactis caribbeorum,Corynactis,orange ball corallimorph,Orange body and pale brown to yellow oral disc. Long transparent tentacles tipped with bright orange balls.,123,INVERTEBRATES,invertebrates,corallimorphs,epub_profile
Coryphaena hippurus,coryphaena hippurus,Coryphaena,dolphinfish (mahi-mahi),Metallic bluish-green with golden abdomen. Males have distinctively pronounced forehead. Found in open ocean.,421,FISHES,fishes,barracudas,epub_profile
Coryphellina marcusorum,coryphellina marcusorum,Coryphellina,purplering flabellina,"Translucent to orange body. Long distinctively pointed cerata and rhinophores, with purple rings and pale tips.",201,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Coryphopterus alloides,coryphopterus alloides,Coryphopterus,barfin goby,Translucent yellow body and orange head. Internal dark bar behind pectoral. Dark blotch near front of dorsal fin.,295,FISHES,fishes,gobies,epub_profile
Coryphopterus dicrus,coryphopterus dicrus,Coryphopterus,colon goby,"As in C. tortugae but with small brown flecks, spots on top of head, pair of colon-like spots on pectoral base.",297,FISHES,fishes,gobies,epub_profile
Coryphopterus eidolon,coryphopterus eidolon,Coryphopterus,pallid goby,Pale body with yellow to orange markings. Band from eye to jaw. Black blotches on iris. Dark bar at tail base.,295,FISHES,fishes,gobies,epub_profile
Coryphopterus glaucofraenum,coryphopterus glaucofraenum,Coryphopterus,bridled goby,"As in C. tortugae but with dark X markings along flank, two dark spots at tail base. Prefers shallow silty areas.",297,FISHES,fishes,gobies,epub_profile
Coryphopterus hyalinus,coryphopterus hyalinus,Coryphopterus,glass goby,Translucent orange with white segments along spinal column. Dark scale edges. Pepper spots on lower body.,295,FISHES,fishes,gobies,epub_profile
Coryphopterus kuna,coryphopterus kuna,Coryphopterus,Kuna goby,Translucent with irregular small brown spots. Distinctive straight line of several tiny black spots along upper iris.,297,FISHES,fishes,gobies,epub_profile
Coryphopterus lipernes,coryphopterus lipernes,Coryphopterus,Peppermint goby,"Translucent yellow body. Blue on top of snout and upper edge of eye. Three blue lines from eye, upper one short.",295,FISHES,fishes,gobies,epub_profile
Coryphopterus personatus,coryphopterus personatus,Coryphopterus,masked goby,The most common goby. Similar to Glass Goby but no dark scale edges or spots. White dash on pectoral fin.,295,FISHES,fishes,gobies,epub_profile
Coryphopterus thrix,coryphopterus thrix,Coryphopterus,Bartail goby,Pale body with orange to dusky markings. Dark bar at tail base. Black blotches on iris broken into irregular spots.,295,FISHES,fishes,gobies,epub_profile
Coryphopterus tortugae,coryphopterus tortugae,Coryphopterus,patch-reef goby,Pale with brown and white spots. White bridle under eye. Bar (not spots) at tail base. No spot on lower pectoral fin.,297,FISHES,fishes,gobies,epub_profile
Coryphopterus venezuelae,coryphopterus venezuelae,Coryphopterus,sand-canyon goby,"As in C. tortugae but with darker blotch on lower pectoral base, dark bar at tail base. Prefers clean, deeper water.",297,FISHES,fishes,gobies,epub_profile
Coryrhynchus algicola,coryrhynchus algicola,Coryrhynchus,Halimeda neck crab,"Short broadly rounded rostrum. Tubercles between eyes. Decorates with algae, commonly Halimeda. Reef areas.",275,INVERTEBRATES,invertebrates,crabs,epub_profile
Coryrhynchus riisei,coryrhynchus riisei,Coryrhynchus,Longfinger neck crab,Hollow hood-shaped rostrum. Hooked dactyls. Last legs 1.5x longer than carapace. Rubble and seagrass areas.,275,INVERTEBRATES,invertebrates,crabs,epub_profile
Coryrhynchus sidneyi,coryrhynchus sidneyi,Coryrhynchus,shortfinger neck crab,"Short rounded rostrum. Last section (dactyl) of rear legs short, half previous section. Reef areas and gorgonians.",275,INVERTEBRATES,invertebrates,crabs,epub_profile
Cosmocampus albirostris,cosmocampus albirostris,Cosmocampus,whitenose pipefish,Distinctively white snout. Brown body with regularly spaced white and dark bars. Found on sandy bottoms.,347,FISHES,fishes,pipefishes,epub_profile
Cosmocampus brachycephalus,cosmocampus brachycephalus,Cosmocampus,crested pipefish,Short upturned snout. Brown body with darker broken stripes. Transparent tail. Usually found in areas of algae.,346,FISHES,fishes,pipefishes,epub_profile
Cosmocampus elucens,cosmocampus elucens,Cosmocampus,shortfin pipefish (variation),"A rare lavender variation of Shortfin Pipefish, often in shallower water. Darker varieties are found up to 300m.",347,FISHES,fishes,pipefishes,epub_profile
Costasiella arenaria,costasiella arenaria,Costasiella,Sand costasiella,Pale green to dark brown with bright speckles on dense cerata. Brown line on rhinophores. Found on fine sand.,182,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Costasiella nonatoi,costasiella nonatoi,Costasiella,Black costasiella,Black with white patches around eye and outer edge of rhinophores. Black cerata with white spots. White foot.,182,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Costasiella ocellifera,costasiella ocellifera,Costasiella,eyespot costasiella,Bulbous pointed green cerata with orange bands and black spots. Often a small blue spot above close-set black eyes.,182,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Cribrochalina vasculum,cribrochalina vasculum,Cribrochalina,,,66,MARINE PLANTS,sponges,barrel-sponges,scientific_index
Cronius ruber,cronius ruber,Cronius,blackpoint sculling crab,Brown to brick-red carapace with darker mottling. Red stripes on walking legs. Claws banded with red to black.,285,INVERTEBRATES,invertebrates,crabs,epub_profile
Cryptoconchus floridanus,cryptoconchus floridanus,Cryptoconchus,White-barred chiton,"Dark, almost black mantle covers most of the plates’ surface, leaving a thin white line visible down the center.",219,INVERTEBRATES,invertebrates,chitons,epub_profile
Cryptonemia crenulata,cryptonemia crenulata,Cryptonemia,cryptic blade alga,Elongated thick-walled dark red leaves. Blade edges are rough and crenelated. Found growing in small clusters.,35,MARINE PLANTS,plants,red-algae,epub_profile
Cryptotomus roseus,cryptotomus roseus,Cryptotomus,bluelip parrotfish (terminal),Thin pink stripes from eye to snout. Pink spots behind gill cover continue into a wide pink stripe to tail base.,385,FISHES,fishes,parrotfishes,epub_profile
Ctenogobius saepepallens,ctenogobius saepepallens,Ctenogobius,dash goby,Dark bar through eye onto cheek. Row of dark midlateral dashes. Males have a dark patch on the lower gill cover.,301,FISHES,fishes,gobies,epub_profile
Ctenoides scaber,ctenoides scaber,Ctenoides,rough fileclam,"Rounded valves and deep red mantle folds. Long white, red or pink tentacles. Found hiding in narrow crevices.",214,INVERTEBRATES,invertebrates,clams,epub_profile
Cuapetes americanus,cuapetes americanus,Cuapetes,American Grass shrimp,"Pale translucent body. Straight rostrum, slightly curved at the tip. Stalked eyes. Distinctively elongated claw arms.",257,INVERTEBRATES,invertebrates,shrimps,epub_profile
Cupressopathes gracilis,cupressopathes gracilis,Cupressopathes,,,91,CORALS,corals,black-corals,scientific_index
Cyclopsetta fimbriata,cyclopsetta fimbriata,Cyclopsetta,spotfin flounder,Pale brown body. Two large dark spots on both dorsal and anal fins. Spot behind pectoral base and on tail.,327,FISHES,fishes,flounders,epub_profile
Cyclosalpa affinis,cyclosalpa affinis,Cyclosalpa,Planktonic tunicate,"Transparent body, often with blue markings. Faint muscles and reddish digestive tracts can usually be seen. Pelagic.",134,INVERTEBRATES,invertebrates,tunicates,epub_profile
Cyerce antillensis,cyerce antillensis,Cyerce,Antilles Glass Slug,Transparent cerata with irregular white-tipped edges. Long oral tentacles. Feeds on Watercress Alga (p. 23).,184,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Cyerce cristallina,cyerce cristallina,Cyerce,harlequin glass slug,Pale body and purple rhinphores. Large translucent cerata have brownish to bright purple tips and thin white lines.,184,INVERTEBRATES,invertebrates,sea-slugs,epub_profile
Cymatioa undulata,cymatioa undulata,Cymatioa,Wavy Cymatioa,Rounded glossy white valves with thin faint ribs. Found in rubble. Long foot used to move quickly into shelter.,213,INVERTEBRATES,invertebrates,clams,epub_profile
Cymbovula acicularis,cymbovula acicularis,Cymbovula,bahama simnia,Elongated glossy shell and pale mantle. Thin orange line runs along mantle edge. (Previously C. bahamensis.),223,INVERTEBRATES,invertebrates,snails,epub_profile
Cymbovula bahamensis,cymbovula bahamensis,Cymbovula,,,223,INVERTEBRATES,invertebrates,snails,scientific_index
Cyphoma cassidyae,cyphoma cassidyae,Cyphoma,Triangular Cyphoma,Elongated shell with white triangles on edges of black or mottled mantle. (Previously Cyphoma “black morph.”),223,INVERTEBRATES,invertebrates,snails,epub_profile
Cyphoma gibbosum,cyphoma gibbosum,Cyphoma,flamingo tongue,"Pale bulbous shell is wider in the middle. Creamy mantle has orange spots circled in black, often covering the shell.",222,INVERTEBRATES,invertebrates,snails,epub_profile
Cyphoma signatum,cyphoma signatum,Cyphoma,fingerprint cyphoma,"Mantle has thin orange lines bordered in black, arranged in a fingerprint pattern. (Previously Cyphoma gibbosum.)",223,INVERTEBRATES,invertebrates,snails,epub_profile
Cypraecassis testiculus,cypraecassis testiculus,Cypraecassis,reticulate cowrie-helmet,Rounded shell with longitudinal ridges. Broad broken lines of brown or black and white surround the shell.,239,INVERTEBRATES,invertebrates,snails,epub_profile
Dactylopterus volitans,dactylopterus volitans,Dactylopterus,Flying gurnard,"Blunt snout and tapering body. Large wing-like pectoral fins extend to tail base, with bright blue spots and lines.",332,FISHES,fishes,searobins,epub_profile
Dardanus fucosus,dardanus fucosus,Dardanus,Bareye hermit,Purple body and claws with red highlights. Blue eyes with distinctive horizontal black bars and tufts of bristles.,272,INVERTEBRATES,invertebrates,crabs,epub_profile
Dardanus venosus,dardanus venosus,Dardanus,stareye hermit,Red to purple with short brown bristles. Banded legs. Blue eyes with a distinctive star-shaped pattern.,272,INVERTEBRATES,invertebrates,crabs,epub_profile
Dasya antillarum,dasya antillarum,Dasya,Antilles Shaggy alga,Brown to purplish stalks with fine filamentous hair-like branchlets. Grows in clusters on shallower reefs.,36,MARINE PLANTS,plants,red-algae,epub_profile
Dasya ramosissima,dasya ramosissima,Dasya,Branching Bush alga,Tall reddish-brown stalks with short fluffy alternating tufts of branchlets. Found in protected areas on deeper reefs.,36,MARINE PLANTS,plants,red-algae,epub_profile
Dasycladus vermicularis,dasycladus vermicularis,Dasycladus,Shaggy branch alga,"Fuzzy cylindrical branches in dense clusters. Found growing on hard substrates in shallow, sheltered areas.",15,MARINE PLANTS,plants,green-algae,epub_profile
Davidaster discoideus,davidaster discoideus,Davidaster,beaded crinoid,"Twenty arms, usually golden. Side branches are tinged with silver and often have black tips. Hides in crevices.",147,INVERTEBRATES,invertebrates,crinoids,epub_profile
Davidaster rubiginosus,davidaster rubiginosus,Davidaster,golden crinoid,"Twenty to forty arms of either yellow, brown or black. Side branches are golden or black with golden tips.",147,INVERTEBRATES,invertebrates,crinoids,epub_profile
Decapterus macarellus,decapterus macarellus,Decapterus,mackerel scad,Bluish-green upper body. Often a yellow midbody stripe. No spots on lateral line. Dark spot on upper gill cover.,419,FISHES,fishes,jacks,epub_profile
Decapterus punctatus,decapterus punctatus,Decapterus,round scad,Elongated silvery body. A line of small black dots along curved part of lateral line. Large scutes near dusky tail.,419,FISHES,fishes,jacks,epub_profile
Decapterus tabl,decapterus tabl,Decapterus,redtail scad,"Slender silvery body with a bluish stripe. Red dorsal and pectoral fins and tail. Pelagic, may school on deep reefs.",419,FISHES,fishes,jacks,epub_profile
Dendostrea frons,dendostrea frons,Dendostrea,frond oyster,Valve edges have a distinctive zigzag pattern. Often attached to gorgonians and encrusted with sponge.,216,INVERTEBRATES,invertebrates,oysters,epub_profile
Dendrogyra cylindrus,dendrogyra cylindrus,Dendrogyra,,,70,CORALS,corals,branching-corals,scientific_index
Dentitheca dendritica,dentitheca dendritica,Dentitheca,feather bush hydroid,Thick central stalks branch repeatedly to form a loose bush. Often covered in Hydroid Zoanthids (p. 127).,136,INVERTEBRATES,invertebrates,hydroids,epub_profile
Desmapsamma anchorata,desmapsamma anchorata,Desmapsamma,,,46,MARINE PLANTS,sponges,encrusting-sponges,scientific_index
Diadema antillarum,diadema antillarum,Diadema,long-spined urchin (variation),A less common variation with white spines. Individuals may be found with both black and white spines together.,149,INVERTEBRATES,invertebrates,sea-urchins,epub_profile
Diaulula farmersi,diaulula farmersi,Diaulula,Farmer’s Diaulula,Dirty yellow dorsum with brown patches. Low sheaths on dark rhinophores. Rows of white glands around mantle.,189,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Diaulula phoca,diaulula phoca,Diaulula,Brown Diaulula,"Purplish-brown dorsum with tiny tubercles, rhinophores and gills of same color. Rigid mantle. Feeds on sponges.",189,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Dichocoenia stokesi,dichocoenia stokesi,Dichocoenia,,,85,CORALS,corals,star-corals,scientific_index
Dichotomaria obtusata,dichotomaria obtusata,Dichotomaria,Blunt thicket alga,Clusters of pink to creamy-red cylindrical branches. Branches are smooth and elongated with sparse hairs.,32,MARINE PLANTS,plants,red-algae,epub_profile
Dichotomia cannoides,dichotomia cannoides,Dichotomia,Dichotomous Medusa,Elongated bell with visible golden brown branching canals. Long thin tentacles retracted when swimming.,111,INVERTEBRATES,invertebrates,jellies,epub_profile
Dictyonella funicularis,dictyonella funicularis,Dictyonella,,,55,MARINE PLANTS,sponges,rope-sponges,scientific_index
Dictyosphaeria cavernosa,dictyosphaeria cavernosa,Dictyosphaeria,green bubble weed,Light green bulbous shapes with small rounded knobs giving them a cobbled texture. Often found in clusters.,19,MARINE PLANTS,plants,green-algae,epub_profile
Dictyota bartayresiana,dictyota bartayresiana,Dictyota,yellow blade alga,Small twin-lobed yellow blades with thin olive-brown bands. Often found with n sheen of green or bluish iridescence.,28,MARINE PLANTS,plants,brown-algae,epub_profile
Dictyota ciliolata,dictyota ciliolata,Dictyota,serrated strap alga,Bushy structures with flat blades. Distinctively small marginal teeth. Yellow to brownish with light banding.,26,MARINE PLANTS,plants,brown-algae,epub_profile
Dictyota crenulata,dictyota crenulata,Dictyota,notched blade alga,Twin-lobed pale brown blades growing in small clusters. The tips of each blade are edged in a lighter brown.,27,MARINE PLANTS,plants,brown-algae,epub_profile
Dictyota humifusa,dictyota humifusa,Dictyota,Y-branched alga,"Flat interwoven mat of stubby notched blades. Light brown to green, often with a brilliant blue iridescence.",27,MARINE PLANTS,plants,brown-algae,epub_profile
Dictyota menstrualis,dictyota menstrualis,Dictyota,flower blade alga,"Dense clusters of twin-lobed dark brown blades edged in yellow, with yellow speckles. Can cover large areas.",27,MARINE PLANTS,plants,brown-algae,epub_profile
Dictyota pulchella,dictyota pulchella,Dictyota,narrow blade alga,Clusters of thin flat leaves becoming narrower with each branching. Olive-brown with a bright green iridescence.,27,MARINE PLANTS,plants,brown-algae,epub_profile
Didemnum conchyliatum,didemnum conchyliatum,Didemnum,white speck tunicate,"Usually orange with white specks, in a tunic with shared excurrent siphons. Found growing in small clusters.",131,INVERTEBRATES,invertebrates,tunicates,epub_profile
Didemnum vanderhorsti,didemnum vanderhorsti,Didemnum,black overgrowing tunicate,Colony made up of many tiny individuals in a common swollen black tunic. Scattered pale incurrent siphons.,131,INVERTEBRATES,invertebrates,tunicates,epub_profile
Diodogorgia nodulifera,diodogorgia nodulifera,Diodogorgia,,,96,CORALS,corals,octocorals,scientific_index
Diodon holocanthus,diodon holocanthus,Diodon,Balloonfish,Olive to brown with small black spots. Brown bar through eye. Dark patches above pectoral and at dorsal base.,369,FISHES,fishes,puffers,epub_profile
Diodon hystrix,diodon hystrix,Diodon,Porcupinefish,Light gray with a paler abdomen. Small black spots on body and fins. No dark bars (compare: C. reticulatus).,369,FISHES,fishes,puffers,epub_profile
Diodora listeri,diodora listeri,Diodora,Lister’s Keyhole Limpet,Thick rough-sculptured shell. Tall major ribs with a wavy pattern. Knobby white mantle with distinct dark bands.,221,INVERTEBRATES,invertebrates,limpets,epub_profile
Diodora minuta,diodora minuta,Diodora,Dwarf Keyhole Limpet,Pale oval shell with distinctive beaded black ribs. Convex in front and concave behind the dark-rimmed aperture.,221,INVERTEBRATES,invertebrates,limpets,epub_profile
Diplectrum bivittatum,diplectrum bivittatum,Diplectrum,dwarf sand perch,"Pale, with dark stripes on upper body. Dark bar from snout, through eye to tail base. Blue markings on cheek.",401,FISHES,fishes,basses,epub_profile
Diplectrum formosum,diplectrum formosum,Diplectrum,sand perch,Orange-brown with pale blue stripes. Darker bars while resting. Blue markings on snout (compare: D. bivittatum).,401,FISHES,fishes,basses,epub_profile
Diplodus argenteus,diplodus argenteus,Diplodus,Silver porgy,"Silvery body with large black spot at upper tail base, which may form a saddle. White spine on pelvic fin.",429,FISHES,fishes,porgies,epub_profile
Diplogrammus pauciradiatus,diplogrammus pauciradiatus,Diplogrammus,spotted dragonet,"Heavily mottled and spotted body. Flexible dorsal spines. Skin keel along lower body, with a row of dark spots.",335,FISHES,fishes,lizardfishes,epub_profile
Diploria labyrinthiformis,diploria labyrinthiformis,Diploria,,,77,CORALS,corals,brain-corals,scientific_index
Diplosoma glandulosum,diplosoma glandulosum,Diplosoma,globular encrusting tunicate,Tiny individuals empty into a common deep excurrent siphon. Thin pale siphon rims. Forms globular shapes.,135,INVERTEBRATES,invertebrates,tunicates,epub_profile
Discosoma carlgreni,discosoma carlgreni,Discosoma,forked tentacle corallimorph,"Flattened disc in a variety of colors, usually blotched. Small forked tentacles in lines radiating from the mouth.",123,INVERTEBRATES,invertebrates,corallimorphs,epub_profile
Discosoma neglecta,discosoma neglecta,Discosoma,umbrella corallimorph,Wide flattened oral disc with short rectangular tentacles arranged around the outer edges. Typically solitary.,123,INVERTEBRATES,invertebrates,corallimorphs,epub_profile
Dissodactylus mellitae,dissodactylus mellitae,Dissodactylus,sand dollar pea crab,Flattened white carapace with reddish-brown mottling. Bristled legs. Commensal with Sand Dollars (p. 150).,283,INVERTEBRATES,invertebrates,crabs,epub_profile
Dissodactylus primitivus,dissodactylus primitivus,Dissodactylus,heart urchin pea crab,Smooth uniformly white carapace. Fringe of short bristles on legs. Commensal with Red Heart Urchins (p. 151).,283,INVERTEBRATES,invertebrates,crabs,epub_profile
Distaplia bermudensis,distaplia bermudensis,Distaplia,mottled encrusting tunicate,"Individual tunicates cluster around the excurrent siphons, giving them a mottled appearance. Color varies greatly.",135,INVERTEBRATES,invertebrates,tunicates,epub_profile
Distaplia corolla,distaplia corolla,Distaplia,button tunicates,Small rounded clusters of tunicates gathered around a common excurrent siphon. Typically orange or purple.,133,INVERTEBRATES,invertebrates,tunicates,epub_profile
Dolabrifera dolabrifera,dolabrifera dolabrifera,Dolabrifera,warty seacat,"Green to brown body, wider towards the rear. Scattered rough papillae. Short rolled rhinophores and tentacles.",207,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
Domecia acanthophora,domecia acanthophora,Domecia,elkhorn coral crab,"Flattened carapace edged in black, with tiny pale spots. Small black and white spots on claws. Red-tipped legs.",284,INVERTEBRATES,invertebrates,crabs,epub_profile
Dondice arianeae,dondice arianeae,Dondice,Ariane’s dondice,Broken pinkish-white line down dorsum. Blue spots on edge of foot. Spots on long oral tentacles. From Florida.,199,INVERTEBRATES,invertebrates,nudibranchs,epub_profile
